"followers","friends","favourited","statuscount","favourites","retweets"
4778,4894,29597,47963,0,0
4778,4894,29597,47963,3565,7943
4778,4894,29597,47963,1,0
4778,4894,29597,47963,1,0
4778,4894,29597,47963,0,0
4778,4894,29597,47963,1,0
4778,4894,29597,47963,3,0
4778,4894,29597,47963,2,1
4778,4894,29597,47963,0,0
4778,4894,29597,47963,1,0
4778,4894,29597,47963,1,0
4778,4894,29597,47963,1,0
4778,4894,29597,47963,9,0
4778,4894,29597,47963,1,0
4778,4894,29597,47963,1,0
4778,4894,29597,47963,0,0
4778,4894,29597,47963,11,0
4778,4894,29597,47963,1,0
4778,4894,29597,47963,4,3
4778,4894,29597,47963,1,0
253,258,23464,29364,1,0
253,258,23464,29364,675,193
253,258,23464,29364,0,0
253,258,23464,29364,0,0
253,258,23464,29364,1,0
253,258,23464,29364,1,0
253,258,23464,29364,1,1
253,258,23464,29364,428,106
253,258,23464,29364,79,36
253,258,23464,29364,72,3
253,258,23464,29364,0,0
253,258,23464,29364,4054,435
253,258,23464,29364,731,139
253,258,23464,29364,2831,182
253,258,23464,29364,1,1
253,258,23464,29364,3,0
253,258,23464,29364,1,0
253,258,23464,29364,300,30
253,258,23464,29364,1,0
253,258,23464,29364,321,21
22,49,2471,3158,5,0
22,49,2471,3158,2,0
22,49,2471,3158,0,0
22,49,2471,3158,0,0
22,49,2471,3158,3,0
22,49,2471,3158,0,0
22,49,2471,3158,0,0
22,49,2471,3158,0,0
22,49,2471,3158,20,1
22,49,2471,3158,280153,52262
22,49,2471,3158,0,0
22,49,2471,3158,1,0
22,49,2471,3158,11,1
22,49,2471,3158,70893,12393
22,49,2471,3158,0,0
22,49,2471,3158,5995,1102
22,49,2471,3158,3,0
22,49,2471,3158,4,0
22,49,2471,3158,0,0
22,49,2471,3158,3,0
65,290,2418,1128,2,0
65,290,2418,1128,0,0
65,290,2418,1128,1,0
65,290,2418,1128,1,0
65,290,2418,1128,0,0
65,290,2418,1128,0,0
65,290,2418,1128,1,0
65,290,2418,1128,0,0
65,290,2418,1128,207,40
65,290,2418,1128,29307,3049
65,290,2418,1128,0,0
65,290,2418,1128,0,0
65,290,2418,1128,0,0
65,290,2418,1128,0,0
65,290,2418,1128,0,0
65,290,2418,1128,0,0
65,290,2418,1128,0,0
65,290,2418,1128,0,0
65,290,2418,1128,0,0
65,290,2418,1128,93,5
3,87,297,2,1,0
3,87,297,2,0,0
162,432,56,2801,3,0
162,432,56,2801,0,0
